Reagent,Well,[Ppt],[Ppt],Precipitant,pH,[Buffer],[Buffer],Buffer,pH,Average,Average,Average,
#,#,,units,,,,units,,,pH,Ref. Index,Conductivity,
51,E3,1.5,M,Ammonium phosphate dibasic,,0.1,M,Tris,8.5,8.3,1.36927,94.2,mS/cm
52,E4,2.4,M,Ammonium phosphate dibasic,,0.1,M,Tris,8.5,8.3,1.38666,106.2,mS/cm
53,E5,1.0,M,"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ",5.0,,,,,4.4,1.34775,41.1,mS/cm
54,E6,1.0,M,"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ",6.9,,,,,6.9,1.35328,84.2,mS/cm
55,E7,1.0,M,"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ",8.2,,,,,8.3,1.35637,105.8,mS/cm
56,E8,1.8,M,"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ",5.0,,,,,4.1,1.35818,55.6,mS/cm
57,E9,1.8,M,"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ",6.9,,,,,"7,0",1.36712,"114,0",mS/cm
58,E10,1.8,M,"Sodium phosphate monobasic monohydrate, Potassium phosphate dibasic ",8.2,,,,,8.4,1.37205,143.2,mS/cm
59,E11,0.5,M,Succinic acid,7.0,0.1,M,BIS-TRIS propane,7.0,7.2,1.35251,52.3,mS/cm
60,E12,1.0,M,Succinic acid,7.0,0.1,M,BIS-TRIS propane,7.0,7.3,1.36733,71.8,mS/cm
61,F1,1.5,M,Ammonium sulfate,,0.1,M,Sodium acetate trihydrate,4.6,4.6,1.36277,174.3,mS/cm
62,F2,1.5,M,Ammonium sulfate,,0.1,M,BIS-TRIS propane,7.0,7.4,1.36767,168.2,mS/cm
63,F3,1.5,M,Ammonium sulfate,,0.1,M,Tris,8.5,8.2,1.36341,170.5,mS/cm
64,F4,2.5,M,Ammonium sulfate,,0.1,M,Sodium acetate trihydrate,4.6,4.6,1.37841,300.8,mS/cm
65,F5,2.5,M,Ammonium sulfate,,0.1,M,BIS-TRIS propane,7.0,7.5,1.38331,"306,0",mS/cm
66,F6,2.5,M,Ammonium sulfate,,0.1,M,Tris,8.5,8.1,1.37933,302.4,mS/cm
67,F7,0.8,M,Lithium sulfate monohydrate,,0.1,M,Sodium acetate trihydrate,4.6,4.3,1.34842,65.2,mS/cm
68,F8,0.8,M,Lithium sulfate monohydrate,,0.1,M,BIS-TRIS propane,7.0,7.3,1.35301,62.9,mS/cm
69,F9,0.8,M,Lithium sulfate monohydrate,,0.1,M,Tris,8.5,8.7,1.34926,62.6,mS/cm
70,F10,1.5,M,Lithium sulfate monohydrate,,0.1,M,Sodium acetate trihydrate,4.6,4.2,1.35927,"80,0",mS/cm
71,F11,1.5,M,Lithium sulfate monohydrate,,0.1,M,BIS-TRIS propane,7.0,7.3,1.36472,76.8,mS/cm
72,F12,1.5,M,Lithium sulfate monohydrate,,0.1,M,Tris,8.5,8.7,1.36025,78.2,mS/cm
